"";"ibge";"dist.ilheus";"dist.ssa";"dist.min.ilh.ssa"
"108";"2902302";191,596912837891;83,3386260301219;83,3386260301219
"109";"2902500";631,650301559065;664,819222683095;631,650301559065
"110";"2902609";338,165870047485;225,253562720319;225,253562720319
"111";"2902658";466,405270952898;256,124249436809;256,124249436809
"112";"2902708";629,56068939703;587,258703994515;587,258703994515
"113";"2902807";257,468009233811;311,762805036317;257,468009233811
"114";"2903003";458,899444676486;425,30076136262;425,30076136262
"115";"2903102";99,0445130145087;190,299646253628;99,0445130145087
"116";"2903201";767,979385457888;788,733218435567;767,979385457888
"117";"2903235";446,895079029611;399,338857342173;399,338857342173
"118";"2903276";362,936097988401;173,650412926735;173,650412926735
"119";"2903607";360,922505934961;157,367449951529;157,367449951529
"120";"2903805";285,59015140119;253,514024854599;253,514024854599
"121";"2903904";490,619223378006;540,594384457713;490,619223378006
"122";"2904001";374,912439040925;378,042228069809;374,912439040925
"123";"2904050";400,681950560434;342,101368830584;342,101368830584
"124";"2904100";460,234356867761;477,99595682719;460,234356867761
"125";"2904209";412,510623663899;459,068920428839;412,510623663899
"126";"2904308";211,877288985878;166,823917295663;166,823917295663
"127";"2904407";578,262367607681;599,311313527344;578,262367607681
"128";"2904506";478,805339073494;459,381882495474;459,381882495474
"129";"2904753";687,019359696249;636,624347887477;636,624347887477
"130";"2904852";249,57229197851;101,948558192737;101,948558192737
"131";"2904902";241,088590789725;67,7519549006826;67,7519549006826
"132";"2905107";428,776893250474;290,109368598342;290,109368598342
"133";"2905305";432,868324268993;369,501899290275;369,501899290275
"134";"2905404";144,934989107619;97,3412435545665;97,3412435545665
"135";"2905503";437,552458289879;292,792657733814;292,792657733814
"136";"2905701";254,132756934579;29,6653565754694;29,6653565754694
"137";"2905800";90,0156391952411;152,381109521187;90,0156391952411
"138";"2905909";736,326478609136;646,993202490407;646,993202490407
"139";"2906006";536,947656729351;393,20075783656;393,20075783656
"140";"2906105";590,145967426097;638,323227017011;590,145967426097
"141";"2906204";445,075023235005;388,664780360941;388,664780360941
"142";"2906402";326,186327795796;148,597914017105;148,597914017105
"143";"2906501";243,918522026183;30,7519125035178;30,7519125035178
"144";"2906808";454,45243279838;271,625696558099;271,625696558099
"145";"2906824";525,564353628889;322,920597307489;322,920597307489
"146";"2906857";356,678097594451;211,660937728053;211,660937728053
"147";"2906873";399,289591004251;251,078275135942;251,078275135942
"148";"2907004";329,570985720023;105,133031524289;105,133031524289
