;ibge;road.dist;area.muni;dens.road
172;4302709;45908,93449;751755727,9;6,11E-05
173;4302808;268011,5409;3048933924;8,79E-05
174;4302907;68080,8942;2370725397;2,87E-05
175;4303004;202524,6509;3735565832;5,42E-05
176;4303202;NA;NA;NA
177;4303301;25052,21889;260442007,8;9,62E-05
178;4303400;20599,75597;189330140,7;0,000108803
179;4303509;103084,6486;1678331566;6,14E-05
180;4303558;NA;NA;NA
181;4303707;NA;NA;NA
182;4303806;NA;NA;NA
183;4304002;31169,37178;222321015,3;0,0001402
184;4304101;NA;NA;NA
185;4304200;21600,23477;943907976,3;2,29E-05
186;4304309;2230,689593;246385362,1;9,05E-06
187;4304358;40051,32759;934653718,4;4,29E-05
188;4304507;174552,1037;3524699166;4,95E-05
189;4304614;NA;NA;NA
190;4304655;NA;NA;NA
191;4304663;120980,3581;785155443,3;0,000154085
192;4304697;NA;NA;NA
193;4304705;112982,8383;665110940;0,000169871
194;4304853;NA;NA;NA
195;4304903;NA;NA;NA
196;4304952;32583,46691;235547474,9;0,000138331
197;4305009;NA;NA;NA
198;4305116;NA;NA;NA
199;4305124;23440,51757;451659885,6;5,19E-05
200;4305132;NA;NA;NA
201;4305157;NA;NA;NA
202;4305173;NA;NA;NA
203;4305207;18216,71962;177747016,1;0,000102487
204;4305306;2139,408464;684223078,6;3,13E-06
205;4305355;10539,22541;216354611,8;4,87E-05
206;4305371;NA;NA;NA
207;4305405;NA;NA;NA
208;4305439;16623,67342;201272823,7;8,26E-05
209;4305447;NA;NA;NA
210;4305504;21851,60804;273708392,6;7,98E-05
211;4305587;NA;NA;NA
212;4305603;37359,73254;285301802,8;0,000130948
213;4305702;31459,47189;465504773,3;6,76E-05
214;4305801;7087,495872;203029716,1;3,49E-05
215;4305835;9601,746422;112219898,6;8,56E-05
216;4305850;20268,28841;275531376,3;7,36E-05
217;4305871;17123,93092;163151500,6;0,000104957
218;4305900;30562,34029;492556508,8;6,20E-05
219;4305934;NA;NA;NA
220;4305959;NA;NA;NA
221;4305975;37321,19492;422629959,2;8,83E-05
222;4306007;15841,29425;363534276,9;4,36E-05
223;4306056;45826,42963;681241736,3;6,73E-05
224;4306072;NA;NA;NA
225;4306106;60127,35552;1361310875;4,42E-05
226;4306130;NA;NA;NA
227;4306205;3976,865906;154057477,9;2,58E-05
228;4306304;NA;NA;NA
229;4306320;NA;NA;NA
230;4306353;8768,2731;216864781,1;4,04E-05
231;4306379;45338,72128;601180943,2;7,54E-05
232;4306429;3084,949849;225837830;1,37E-05
233;4306452;NA;NA;NA
234;4306502;NA;NA;NA
235;4306601;190552,9633;5192530209;3,67E-05
236;4306700;NA;NA;NA
237;4306734;NA;NA;NA
238;4306759;NA;NA;NA
239;4306809;NA;NA;NA
240;4306908;72583,16028;3347779037;2,17E-05
241;4306924;NA;NA;NA
242;4306932;37940,47517;553134592,4;6,86E-05
243;4306957;NA;NA;NA
244;4306973;18607,30599;153063783,7;0,000121566
245;4307005;44793,16714;430487313,5;0,000104052
246;4307054;5948,617885;239092676,8;2,49E-05
247;4307104;20421,28928;1758447756;1,16E-05
248;4307203;NA;NA;NA
249;4307302;42239,07656;364158708,2;0,000115991
250;4307450;5662,183066;149112338,9;3,80E-05
251;4307500;NA;NA;NA
252;4307559;6079,444746;100225789,8;6,07E-05
253;4307807;19005,85168;184064809,8;0,000103256
254;4307815;NA;NA;NA
255;4307831;NA;NA;NA
256;4307864;NA;NA;NA
257;4308003;NA;NA;NA
258;4308052;NA;NA;NA
259;4308078;11830,22832;84739976,11;0,000139606
260;4308250;NA;NA;NA
261;4308300;43693,27493;583258390,3;7,49E-05
262;4308409;6729,236045;580408338,3;1,16E-05
263;4308433;12887,08906;92789988,56;0,000138884
264;4308458;NA;NA;NA
265;4308508;64014,41494;265120281;0,000241454
266;4308607;16341,71625;168015336;9,73E-05
267;4308656;NA;NA;NA
268;4308706;6915,712625;204159418;3,39E-05
269;4308805;3974,981771;509701134,6;7,80E-06
270;4308854;8182,093426;183913788;4,45E-05
271;4308904;NA;NA;NA
272;4309001;27459,23686;856728072,1;3,21E-05
273;4309126;NA;NA;NA
274;4309159;NA;NA;NA
275;4309258;NA;NA;NA
276;4309407;NA;NA;NA
277;4309506;22785,6932;290668940,2;7,84E-05
278;4309571;NA;NA;NA
279;4309605;NA;NA;NA
280;4309654;51742,52483;823772464,6;6,28E-05
281;4309704;NA;NA;NA
282;4309753;NA;NA;NA
283;4309803;NA;NA;NA
284;4309902;14935,91568;300438019,3;4,97E-05
285;4309951;NA;NA;NA
286;4310009;NA;NA;NA
287;4310207;33375,36629;690207313,7;4,84E-05
288;4310306;NA;NA;NA
289;4310363;NA;NA;NA
290;4310405;NA;NA;NA
291;4310413;NA;NA;NA
292;4310462;15703,97408;157831636,5;9,95E-05
293;4310504;25276,92513;181037744,4;0,000139622
294;4310538;48582,471;172968250,5;0,000280875
295;4310553;11114,85777;1120772003;9,92E-06
296;4310579;NA;NA;NA
297;4310603;123161,2032;3404503363;3,62E-05
298;4310702;NA;NA;NA
299;4310751;NA;NA;NA
300;4310850;19808,90334;128108169,3;0,000154626
301;4310876;NA;NA;NA
302;4310900;NA;NA;NA
303;4311007;62431,88759;2051830812;3,04E-05
304;4311106;43138,78422;673728201,7;6,40E-05
305;4311130;NA;NA;NA
306;4311155;NA;NA;NA
307;4311205;146725,2512;1932021089;7,59E-05
308;4311239;NA;NA;NA
309;4311254;NA;NA;NA
310;4311270;NA;NA;NA
311;4311403;10101,09921;91108752,88;0,000110869
312;4311429;16084,49695;67958378,38;0,000236682
313;4311502;10053,99212;2603326043;3,86E-06
314;4311601;NA;NA;NA
315;4311700;NA;NA;NA
316;4311718;86781,38197;1682092150;5,16E-05
317;4311759;NA;NA;NA
318;4311791;NA;NA;NA
319;4311809;NA;NA;NA
320;4311908;21325,21887;229625869;9,29E-05
321;4311981;8212,544175;337549369,8;2,43E-05
322;4312005;NA;NA;NA
323;4312054;32356,81014;125114954;0,000258617
324;4312104;7032,685736;312096532,6;2,25E-05
325;4312138;25923,24772;238255532,3;0,000108804
326;4312153;NA;NA;NA
327;4312179;NA;NA;NA
328;4312203;NA;NA;NA
329;4312252;19583,9536;424113209,2;4,62E-05
330;4312302;NA;NA;NA
331;4312351;NA;NA;NA
332;4312385;NA;NA;NA
333;4312427;20385,3223;146086885,5;0,000139542
334;4312450;35826,48313;244595040,3;0,000146473
335;4312609;NA;NA;NA
336;4312625;15623,40005;111059011,8;0,000140677
337;4312658;5581,700541;361666764,7;1,54E-05
338;4312674;NA;NA;NA
339;4312708;NA;NA;NA
340;4312757;NA;NA;NA
341;4312807;NA;NA;NA
342;4312906;NA;NA;NA
343;4312955;2889,704673;94250160,35;3,07E-05
344;4313003;NA;NA;NA
345;4313011;NA;NA;NA
346;4313037;11496,85531;191057656,4;6,02E-05
347;4313102;NA;NA;NA
348;4313300;29050,77162;258684716,5;0,000112302
349;4313334;NA;NA;NA
350;4313391;12157,22825;192312224,6;6,32E-05
351;4313425;NA;NA;NA
352;4313441;NA;NA;NA
353;4313466;10657,33458;80607895,37;0,000132212
354;4313490;548,4761247;123616555,2;4,44E-06
355;4313607;NA;NA;NA
356;4313706;132470,1178;1420223989;9,33E-05
357;4313805;NA;NA;NA
358;4313904;70591,42605;491194622,8;0,000143714
359;4313953;52265,14062;840917503,4;6,22E-05
360;4314001;NA;NA;NA
361;4314027;NA;NA;NA
362;4314068;NA;NA;NA
363;4314076;NA;NA;NA
364;4314100;65308,13095;783187869,6;8,34E-05
365;4314134;9718,927106;148232758,6;6,56E-05
366;4314159;8962,89023;171746872,4;5,22E-05
367;4314175;NA;NA;NA
368;4314209;34412,97088;608797782,4;5,65E-05
369;4314308;64138,33118;414567467,3;0,000154711
370;4314407;199668,4211;1609442980;0,000124061
371;4314456;NA;NA;NA
372;4314472;NA;NA;NA
373;4314498;2243,599785;105704878,5;2,12E-05
374;4314506;58396,26041;2250681687;2,59E-05
375;4314555;9314,316899;294090900,3;3,17E-05
376;4314605;113280,0114;3540355704;3,20E-05
377;4314704;NA;NA;NA
378;4314753;NA;NA;NA
379;4314779;493,3566991;505634372,3;9,76E-07
380;4314787;NA;NA;NA
381;4315008;NA;NA;NA
382;4315057;NA;NA;NA
383;4315073;NA;NA;NA
384;4315107;16720,99098;281933130,8;5,93E-05
385;4315131;22037,98968;106484569,9;0,000206959
386;4315156;8837,971428;255760304,1;3,46E-05
387;4315172;2663,526655;172686973,2;1,54E-05
388;4315206;NA;NA;NA
389;4315305;35239,06063;3145670012;1,12E-05
390;4315313;26666,58539;267911168,7;9,95E-05
391;4315321;NA;NA;NA
392;4315354;NA;NA;NA
393;4315404;NA;NA;NA
394;4315453;NA;NA;NA
395;4315503;NA;NA;NA
396;4315552;NA;NA;NA
397;4315602;214449,0616;2708543957;7,92E-05
398;4315701;110369,1155;2049994821;5,38E-05
399;4315800;NA;NA;NA
400;4315909;NA;NA;NA
401;4315958;NA;NA;NA
402;4316105;NA;NA;NA
403;4316204;13281,52432;252222936,2;5,27E-05
404;4316303;37151,63258;348754993,5;0,000106526
405;4316402;184393,1185;4369777973;4,22E-05
406;4316428;10441,28627;78276048,05;0,000133391
407;4316436;40915,72494;221657672,3;0,00018459
408;4316451;NA;NA;NA
409;4316477;7792,158705;94071808,74;8,28E-05
410;4316501;16516,11705;98482866,17;0,000167705
411;4316600;NA;NA;NA
412;4316709;48428,61225;975937832,2;4,96E-05
413;4316733;17225,32182;199343895,5;8,64E-05
414;4316758;NA;NA;NA
415;4316808;28384,43515;733157810,6;3,87E-05
416;4316907;159004,3891;1783619644;8,91E-05
417;4316972;40414,15369;956370870,4;4,23E-05
418;4317004;105950,9584;1421003770;7,46E-05
419;4317103;246159,8552;6939465769;3,55E-05
420;4317202;38029,07635;490140356,4;7,76E-05
421;4317251;NA;NA;NA
422;4317301;144652,407;5243997347;2,76E-05
423;4317400;64159,03826;2413955907;2,66E-05
424;4317509;23540,23553;681136312,1;3,46E-05
425;4317558;NA;NA;NA
426;4317707;64514,8648;1710510146;3,77E-05
427;4317756;47880,5041;203413633,9;0,000235385
428;4317806;22588,22035;468580347,7;4,82E-05
429;4317905;9782,994828;367053986,8;2,67E-05
430;4317954;NA;NA;NA
431;4318002;219083,2451;3615069342;6,06E-05
432;4318051;NA;NA;NA
433;4318101;12958,77007;2508493628;5,17E-06
434;4318309;187860,4011;5027823992;3,74E-05
435;4318408;77297,46985;935814466,9;8,26E-05
436;4318424;NA;NA;NA
437;4318432;NA;NA;NA
438;4318440;NA;NA;NA
439;4318457;13363,46674;98098583,56;0,000136225
440;4318465;18869,55376;103050430,5;0,00018311
441;4318499;10250,73748;77898130,3;0,000131592
442;4318606;22580,4902;334531531,8;6,75E-05
443;4318614;20385,3339;58989552,01;0,000345575
444;4318804;71714,56569;2035083186;3,52E-05
445;4318903;73813,41256;1296012670;5,70E-05
446;4319109;12344,46439;171883992,9;7,18E-05
447;4319125;34253,21244;670308089,5;5,11E-05
448;4319158;14783,49662;1230419493;1,20E-05
449;4319208;7294,991729;485320070,6;1,50E-05
450;4319307;364,563148;223926547,7;1,63E-06
451;4319356;7201,809738;35360224,77;0,00020367
452;4319364;7232,749922;79997187,25;9,04E-05
453;4319372;9073,948632;107657851,6;8,43E-05
454;4319406;52097,80849;874440195,6;5,96E-05
455;4319604;214251,289;2204363219;9,72E-05
456;4319703;NA;NA;NA
457;4319711;NA;NA;NA
458;4319737;1348,223209;108103039,9;1,25E-05
459;4319802;38767,46833;1175663958;3,30E-05
460;4320107;40650,14543;353408863,8;0,000115023
461;4320206;57597,77391;301584124,2;0,000190984
462;4320230;NA;NA;NA
463;4320263;NA;NA;NA
464;4320305;NA;NA;NA
465;4320321;NA;NA;NA
466;4320354;33214,04875;281762685,4;0,00011788
467;4320404;NA;NA;NA
468;4320453;NA;NA;NA
469;4320503;18559,84666;439303115,6;4,22E-05
470;4320552;NA;NA;NA
471;4320578;15998,22441;130088569,7;0,000122979
472;4320602;13744,86569;167514130,1;8,21E-05
473;4320651;NA;NA;NA
474;4320677;NA;NA;NA
475;4320701;NA;NA;NA
476;4320800;97369,84331;1213116534;8,03E-05
477;4320859;12625,30906;94690255,78;0,000133333
478;4320909;NA;NA;NA
479;4321006;NA;NA;NA
480;4321303;12575,8712;349743110,4;3,60E-05
481;4321329;NA;NA;NA
482;4321402;NA;NA;NA
483;4321451;NA;NA;NA
484;4321469;26859,06389;113890113,1;0,000235833
485;4321477;28224,76477;236480355;0,000119354
486;4321493;NA;NA;NA
487;4321626;20664,32227;81079434,18;0,000254865
488;4321634;24483,15243;148512880,9;0,000164855
489;4321808;40278,28432;422618915,1;9,53E-05
490;4321857;NA;NA;NA
491;4321907;37974,67635;268736928,1;0,000141308
492;4321956;NA;NA;NA
493;4322103;NA;NA;NA
494;4322152;NA;NA;NA
495;4322186;10587,55487;135164893,5;7,83E-05
496;4322202;70625,24017;2253998753;3,13E-05
497;4322301;NA;NA;NA
498;4322327;31413,76989;253508473;0,000123916
499;4322343;NA;NA;NA
500;4322350;NA;NA;NA
501;4322376;37515,10247;602383589;6,23E-05
502;4322400;270097,6152;5699205912;4,74E-05
503;4322525;NA;NA;NA
504;4322533;NA;NA;NA
505;4322558;NA;NA;NA
506;4322608;29804,19505;771868397,3;3,86E-05
507;4322707;NA;NA;NA
508;4322806;34569,05573;289220970,5;0,000119525
509;4322855;NA;NA;NA
510;4322905;4218,401207;268090229;1,57E-05
511;4323101;15849,28492;193167948,8;8,20E-05
512;4323200;49460,36768;238242531,5;0,000207605
513;4323309;9930,383265;107736619,3;9,22E-05
514;4323358;NA;NA;NA
515;4323408;NA;NA;NA
516;4323457;30826,94412;508496796,3;6,06E-05
517;4323507;NA;NA;NA
518;4323606;NA;NA;NA
519;4323705;NA;NA;NA
520;4323754;21028,25393;259797726,8;8,09E-05
521;4323770;NA;NA;NA
522;5000203;127965,4621;7810946638;1,64E-05
523;5000252;134849,3912;4405428682;3,06E-05
524;5000609;31524,04639;4203507771;7,50E-06
525;5000708;173681,3408;2945191823;5,90E-05
526;5000807;48995,39259;3395664264;1,44E-05
527;5000856;NA;NA;NA
528;5000906;NA;NA;NA
529;5001102;386438,4396;16963492191;2,28E-05
530;5001243;NA;NA;NA
531;5001508;165579,1036;3119457401;5,31E-05
532;5001904;102353,1234;2417282747;4,23E-05
533;5002001;1212,119243;1828793329;6,63E-07
534;5002100;145163,1104;4889036665;2,97E-05
535;5002159;16504,45978;2505390521;6,59E-06
536;5002209;1945,405186;4930890123;3,95E-07
537;5002308;139692,858;5805911319;2,41E-05
538;5002407;88494,95091;2090571587;4,23E-05
539;5002605;175304,7806;6238746187;2,81E-05
540;5002704;509420,7111;8103054531;6,29E-05
541;5002803;89378,80369;2937927690;3,04E-05
542;5002902;24510,30348;3648260545;6,72E-06
543;5002951;76132,01091;3248109488;2,34E-05
544;5003108;28066,47473;2638778023;1,06E-05
545;5003157;NA;NA;NA
546;5003207;599081,2804;64922013940;9,23E-06
547;5003256;104986,0798;4166371415;2,52E-05
548;5003306;203740,6012;6413788694;3,18E-05
549;5003454;28559,27158;832319896,5;3,43E-05
550;5003488;71202,91696;2341460354;3,04E-05
551;5003504;27096,179;280992905,4;9,64E-05
552;5003702;201771,1254;4088130313;4,94E-05
553;5003751;49934,64628;1018984474;4,90E-05
554;5003801;40175,0429;315452834,1;0,000127357
555;5003900;28293,75814;4890059154;5,79E-06
556;5004007;43121,70598;492370654,8;8,76E-05
557;5004106;137543,199;1209964209;0,000113675
558;5004304;25129,45807;2948781476;8,52E-06
559;5004403;15660,48497;5773122378;2,71E-06
560;5004502;8058,343743;1322335529;6,09E-06
561;5004601;90001,65014;2066825550;4,35E-05
562;5004700;70826,17751;2012702817;3,52E-05
563;5004809;NA;NA;NA
564;5004908;212998,5198;2916052400;7,30E-05
565;5005004;243384,189;2200030717;0,000110628
566;5005103;19911,3119;1930846376;1,03E-05
567;5005152;104335,4735;1585858796;6,58E-05
568;5005202;40362,37718;340522774,4;0,000118531
569;5005251;44731,24376;1734264750;2,58E-05
570;5005400;210758,7459;5298617062;3,98E-05
571;5005608;137264,0542;5471309345;2,51E-05
572;5005681;38308,58016;478307407,3;8,01E-05
573;5005707;133923,3503;3198365444;4,19E-05
574;5005806;263545,8226;3921945431;6,72E-05
575;5006002;265897,4851;4024449862;6,61E-05
576;5006200;139924,7816;4779682687;2,93E-05
577;5006259;NA;NA;NA
