"","ibge","Municipios","rod_fechada","X28.03.2020","X01.04.2020","X02.04.2020","X03.04.2020","X04.04.2020","X05.04.2020","X08.04.2020","X10.04.2020","X11.04.2020","X15.04.2020","X16.04.2020","X17.04.2020","X18.04.2020","X19.04.2020","X22.04.2020","X24.04.2020","X25.04.2020","X26.04.2020","X29.04.2020","X30.04.2020","X01.05.2020","X02.05.2020","X06.05.2020","X07.05.2020","X08.05.2020","X09.05.2020","X10.05.2020","X13.05.2020","X14.05.2020","X15.05.2020","X16.05.2020","X17.05.2020","X20.05.2020","X21.05.2020","X22.05.2020","X23.05.2020","X24.05.2020","X29.05.2020","X30.05.2020","X31.05.2020","X03.06.2020","X05.06.2020","X06.06.2020","X07.06.2020","X10.06.2020","X11.06.2020","X12.06.2020","X14.06.2020","X17.06.2020","X18.06.2020","X20.06.2020","X21.06.2020","X24.06.2020","X25.06.2020","X26.06.2020","X27.06.2020"
"21","2901809","Antônio Gonçalves",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,7,8,9,10
"22","2901908","Aporá",35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,7,8,11,13,14,15,18,19,20,22,25,26,28,29,32,33,34,35
"23","2901957","Apuarema",16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,7,8,11,13,13,13,13,13,13,13,13,13,13,13,13,14,15,16
"24","2902005","Aracatu",43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,6,7,8,9,10,13,13,13,13,13,13,14,15,16,17,22,23,24,27,27,27,27,27,28,29,31,34,35,37,38,41,42,43,43
"25","2902054","Araçás",24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,5,6,7,8,13,13,13,13,15,16,17,20,21,22,24,24,24,24,24,24,24,24,24
"26","2902104","Araci",50,0,0,0,0,0,0,0,0,1,5,6,7,8,9,12,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,15,16,21,22,23,26,28,29,30,33,34,35,37,40,41,43,44,47,48,49,50
"27","2902203","Aramari",22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,5,6,7,9,12,13,15,16,19,20,21,22
"28","2902252","Arataca",23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,6,7,8,9,12,13,13,13,13,13,14,15,16,17,22,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23
"29","2902302","Aratuípe",13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,6,7,8,11,12,13,13,13,13,13,13,13,13,13,13
"30","2902401","Aurelino Leal",46,0,0,0,0,0,0,0,0,1,5,6,7,8,9,12,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,15,16,17,18,23,24,24,24,24,25,26,29,30,31,33,36,37,39,40,43,44,45,46
"31","2902500","Baianópolis",19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,5,7,8,9,12,12,12,12,12,12,12,13,16,17,18,19
"32","2902609","Baixa Grande",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,5,6
"33","2902658","Banzaê",35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,5,6,7,12,13,13,13,13,14,15,18,19,20,22,25,26,28,29,32,33,34,35
"34","2902708","Barra",54,0,0,0,1,2,3,6,8,9,13,14,15,16,17,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,21,22,23,24,29,30,30,30,32,33,34,37,38,39,41,44,45,47,48,51,52,53,54
"35","2902807","Barra da Estiva",17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,7,8,10,11,14,15,16,17
"36","2902906","Barra do Choça",65,0,0,0,0,0,0,0,2,3,7,8,9,10,11,14,14,14,14,14,14,14,14,14,14,15,16,17,20,21,22,23,24,27,28,29,30,31,36,37,38,41,43,44,45,48,49,50,52,55,56,58,59,62,63,64,65
"37","2903003","Barra do Mendes",28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,7,10,12,13,14,17,18,19,21,24,25,27,28,28,28,28,28
"38","2903102","Barra do Rocha",44,0,0,0,0,1,2,5,7,8,12,13,14,15,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,17,22,23,24,27,29,30,31,34,35,36,38,41,42,44,44,44,44,44,44
"39","2903201","Barreiras",62,0,4,5,6,7,8,11,13,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,17,18,19,20,21,24,25,26,27,28,33,34,35,38,40,41,42,45,46,47,49,52,53,55,56,59,60,61,62
"40","2903276","Barrocas",45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,7,8,9,10,11,16,17,18,21,23,24,25,28,29,30,32,35,36,38,39,42,43,44,45
"41","2903300","Barro Preto",55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,4,7,8,9,10,14,15,16,17,18,18,18,18,18,18,18,18,19,20,21,26,27,28,31,33,34,35,38,39,40,42,45,46,48,49,52,53,54,55
"42","2903409","Belmonte",58,0,0,0,0,0,1,4,6,7,11,12,13,14,15,18,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,21,22,23,24,29,30,31,34,36,37,38,41,42,43,45,48,49,51,52,55,56,57,58
"43","2903508","Belo Campo",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,4,4,4,4
"44","2903607","Biritinga",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,7,8,9,10
"45","2903706","Boa Nova",20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,5,7,10,11,13,14,17,18,19,20
"46","2903805","Boa Vista do Tupim",27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,5,6,7,8,11,12,13,13,13,13,14,15,18,20,21,22,25,26,27,27,27,27,27,27,27,27,27,27
"47","2903904","Bom Jesus da Lapa",50,0,4,5,6,7,8,11,13,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,15,16,21,22,23,26,28,29,30,33,34,35,37,40,41,43,44,47,48,49,50
"48","2903953","Bom Jesus da Serra",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"49","2904001","Boninal",20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,5,7,10,11,13,14,17,18,19,20
"50","2904050","Bonito",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,4,4,4,4,4,4,4,4,4,4,4
"51","2904100","Boquira",42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,5,6,7,8,9,14,15,16,19,21,22,23,26,27,28,30,33,34,36,37,40,41,42,42
"52","2904209","Botuporã",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
"53","2904308","Brejões",15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,6,8,9,12,13,14,15
"54","2904506","Brotas de Macaúbas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55","2904605","Brumado",57,0,4,5,6,7,8,11,13,14,18,19,20,21,22,25,27,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,29,30,33,35,36,37,40,41,42,44,47,48,50,51,54,55,56,57
"56","2904704","Buerarema",70,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,6,7,8,11,12,13,14,18,19,20,21,22,25,26,27,28,29,32,33,34,35,36,41,42,43,46,48,49,50,53,54,55,57,60,61,63,64,67,68,69,70
"57","2904753","Buritirama",27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,6,7,10,11,12,14,17,18,20,21,24,25,26,27
"58","2904803","Caatiba",13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,6,7,10,11,12,13
"59","2904852","Cabaceiras do Paraguaçu",24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,4,7,8,9,11,14,15,17,18,21,22,23,24
"60","2904902","Cachoeira",56,0,0,0,0,0,0,0,2,3,7,8,9,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,12,13,14,15,18,19,20,21,22,27,28,29,32,34,35,36,39,40,41,43,46,47,49,50,53,54,55,56
"61","2905008","Caculé",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"62","2905107","Caém",32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,9,10,11,14,16,16,16,19,20,21,23,26,27,29,29,29,30,31,32
"63","2905156","Caetanos",31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,7,8,9,10,11,14,15,16,17,18,21,22,23,24,25,30,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31
"64","2905206","Caetité",37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,8,9,10,13,15,16,17,20,21,22,24,27,28,30,31,34,35,36,37
"65","2905404","Cairu",44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,6,7,8,9,10,15,16,17,20,22,23,24,27,28,29,31,34,35,37,38,41,42,43,44
"66","2905503","Caldeirão Grande",48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,7,8,9,10,11,14,15,15,15,15,15,16,17,18,19,24,25,26,26,26,27,28,31,32,33,35,38,39,41,42,45,46,47,48
"67","2905602","Camacan",73,0,0,0,0,0,0,0,0,0,0,1,2,3,4,7,9,10,11,14,15,16,17,21,22,23,24,25,28,29,30,31,32,35,36,37,38,39,44,45,46,49,51,52,53,56,57,58,60,63,64,66,67,70,71,72,73
"68","2905701","Camaçari",91,0,4,5,6,7,8,11,13,14,18,19,20,21,22,25,27,28,29,32,33,34,35,39,40,41,42,43,46,47,48,49,50,53,54,55,56,57,62,63,64,67,69,70,71,74,75,76,78,81,82,84,85,88,89,90,91
"69","2905800","Camamu",59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,7,8,9,10,11,14,15,16,17,18,21,22,23,24,25,30,31,32,35,37,38,39,42,43,44,46,49,50,52,53,56,57,58,59
"70","2905909","Campo Alegre de Lourdes",63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,5,6,7,11,12,13,14,15,18,19,20,21,22,25,26,27,28,29,34,35,36,39,41,42,43,46,47,48,50,53,54,56,57,60,61,62,63
"71","2906006","Campo Formoso",43,0,0,0,0,0,0,0,2,3,7,8,9,10,11,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,15,16,19,21,22,23,26,27,28,30,33,34,36,37,40,41,42,43
"72","2906204","Canarana",36,0,4,5,6,7,8,11,13,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,15,16,19,20,21,23,26,27,29,30,33,34,35,36
"73","2906303","Canavieiras",60,0,0,0,0,0,0,0,0,0,0,1,2,3,4,7,9,10,11,14,15,16,17,21,22,23,24,25,28,29,30,31,32,32,32,32,32,33,38,39,40,43,45,46,47,50,51,52,54,57,58,60,60,60,60,60,60
"74","2906402","Candeal",22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,5,6,7,9,12,13,15,16,19,20,21,22
"75","2906501","Candeias",77,0,0,0,1,2,3,6,8,9,13,13,13,13,13,13,13,14,15,18,19,20,21,25,26,27,28,29,32,33,34,35,36,39,40,41,42,43,48,49,50,53,55,56,57,60,61,62,64,67,68,70,71,74,75,76,77
"76","2906600","Candiba",24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,4,7,8,9,11,14,15,17,18,21,22,23,24
"77","2906709","Cândido Sales",29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,5,7,8,9,12,13,14,16,19,20,22,23,26,27,28,29
"78","2906808","Cansanção",39,0,0,0,0,0,0,0,0,0,0,1,2,3,4,7,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,12,15,17,18,19,22,23,24,26,29,30,32,33,36,37,38,39
"79","2906824","Canudos",26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,6,7,10,11,12,14,17,18,20,21,24,25,26,26
"80","2906857","Capela do Alto Alegre",26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,7,8,9,10,11,16,17,18,21,23,23,23,23,23,23,23,23,23,23,23,23,24,25,26
"81","2906873","Capim Grosso",62,0,0,0,0,0,0,0,0,0,0,1,2,3,4,7,9,10,11,14,15,16,17,17,17,17,17,17,17,18,19,20,21,24,25,26,27,28,33,34,35,38,40,41,42,45,46,47,49,52,53,55,56,59,60,61,62
"82","2906899","Caraíbas",16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,5,7,8,9,12,13,14,16,16,16,16,16,16,16,16,16
"83","2906907","Caravelas",22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,5,6,7,9,12,13,15,16,19,20,21,22
"84","2907004","Cardeal da Silva",35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,9,10,11,14,16,17,18,21,22,23,25,28,29,31,32,35,35,35,35
"85","2907103","Carinhanha",14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,5,7,10,11,13,14,14,14,14,14
"86","2907202","Casa Nova",27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,6,7,10,11,12,14,17,18,20,21,24,25,26,27
"87","2907301","Castro Alves",66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,4,7,8,9,10,14,15,16,17,18,21,22,23,24,25,28,29,30,31,32,37,38,39,42,44,45,46,49,50,51,53,56,57,59,60,63,64,65,66
"88","2907400","Catolândia",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,7,8,9,10
"89","2907509","Catu",78,0,0,0,1,2,2,2,4,5,9,10,11,12,13,16,18,19,20,23,24,25,26,30,31,32,33,34,34,34,35,36,37,40,41,42,43,44,49,50,51,54,56,57,58,61,62,63,65,68,69,71,72,75,76,77,78
"90","2907608","Central",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
"91","2907707","Chorrochó",14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,5,7,10,11,13,14,14,14,14,14
"92","2907806","Cícero Dantas",28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,6,7,8,11,12,13,15,18,19,21,22,25,26,27,28
"93","2907905","Cipó",28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,5,7,8,9,12,13,14,16,19,20,22,23,26,27,28,28
"94","2908002","Coaraci",86,0,0,0,1,2,3,6,8,9,13,14,15,16,17,20,22,23,24,27,28,29,30,34,35,36,37,38,41,42,43,44,45,48,49,50,51,52,57,58,59,62,64,65,66,69,70,71,73,76,77,79,80,83,84,85,86
"95","2908101","Cocos",22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,8,9,10,13,15,16,17,20,21,22,22,22,22,22,22,22,22,22,22
"96","2908200","Conceição da Feira",42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,5,6,7,8,13,14,15,18,20,21,22,25,26,27,29,32,33,35,36,39,40,41,42
"97","2908309","Conceição do Almeida",41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,5,6,7,12,13,14,17,19,20,21,24,25,26,28,31,32,34,35,38,39,40,41
"98","2908408","Conceição do Coité",70,0,0,0,0,0,0,3,5,6,10,11,12,13,14,17,19,19,19,19,19,19,19,19,19,20,21,22,25,26,27,28,29,32,33,34,35,36,41,42,43,46,48,49,50,53,54,55,57,60,61,63,64,67,68,69,70
