"";"ibge";"cen.saude";"cen.saude.ba";"cen.saude.ba.adj";"mod.saude";"mod.saude.ba";"mod.saude.ba.adj";"degree.saude";"degree.saude.ba";"polo.saude"
"2929305";"2929305";6,69473665686118e-19;0;0;2;3;2;0;0;"NO"
"2929354";"2929354";6,69473665686118e-19;0;0;2;7;7;0;0;"NO"
"2929370";"2929370";6,69473665686118e-19;0;0;2;3;2;0;0;"NO"
"2929404";"2929404";6,69473665686118e-19;0;0;2;6;6;0;0;"NO"
"2929701";"2929701";6,69473665686118e-19;0;0;2;11;14;0;0;"NO"
"2929750";"2929750";6,69473665686118e-19;0;0;2;3;2;0;0;"NO"
"2929800";"2929800";6,69473665686118e-19;0;0;2;9;2;0;0;"NO"
"2929909";"2929909";0;0;4,34053563490994e-17;2;2;3;10;10;"YES"
"2930006";"2930006";6,69473665686118e-19;0;0;2;16;1;0;0;"NO"
"2930105";"2930105";0;0;3,02289118216115e-17;2;9;5;7;7;"YES"
"2930154";"2930154";6,69473665686118e-19;0;0;2;4;4;0;0;"NO"
"2930204";"2930204";6,69473665686118e-19;0;0;2;27;5;0;0;"NO"
"2930303";"2930303";6,69473665686118e-19;0;0;2;4;4;0;0;"NO"
"2930402";"2930402";6,69473665686118e-19;0;0;2;3;2;0;0;"NO"
"2930501";"2930501";0;0;2,53550842431102e-17;2;3;2;4;4;"YES"
"2930600";"2930600";6,69473665686118e-19;0;0;2;3;2;0;0;"NO"
"2930758";"2930758";6,69473665686118e-19;0;0;2;15;4;0;0;"NO"
"2930766";"2930766";6,69473665686118e-19;0;0;2;1;11;0;0;"NO"
"2930774";"2930774";6,69473665686118e-19;0;0;2;28;5;0;0;"NO"
"2930808";"2930808";6,69473665686118e-19;0;0;2;2;3;0;0;"NO"
"2930907";"2930907";6,69473665686118e-19;0;0;2;4;4;0;0;"NO"
"2931004";"2931004";6,69473665686118e-19;0;0;2;5;1;0;0;"NO"
"2931053";"2931053";6,69473665686118e-19;0;0;27;16;10;0;0;"NO"
"2931103";"2931103";6,69473665686118e-19;0;0;2;3;2;0;0;"NO"
"2931202";"2931202";6,69473665686118e-19;0;0;2;6;6;0;0;"NO"
"2931301";"2931301";6,69473665686118e-19;0;0;2;3;2;0;0;"NO"
"2931350";"2931350";0;0;1,16578838596504e-16;11;18;9;13;13;"YES"
"2931400";"2931400";6,69473665686118e-19;0;0;2;3;2;0;0;"NO"
"2931509";"2931509";6,69473665686118e-19;0;0;2;3;2;0;0;"NO"
"2931608";"2931608";6,69473665686118e-19;0;0;2;6;6;0;0;"NO"
"2931707";"2931707";6,69473665686118e-19;0;0;2;3;2;0;0;"NO"
"2931806";"2931806";6,69473665686118e-19;0;0;2;5;1;0;0;"NO"
"2931905";"2931905";6,69473665686118e-19;0;0;2;1;2;0;0;"NO"
"2932002";"2932002";6,69473665686118e-19;0;0;2;3;5;0;0;"NO"
"2932101";"2932101";6,69473665686118e-19;0;0;2;6;6;0;0;"NO"
"2932200";"2932200";6,69473665686118e-19;0;0;2;7;7;0;0;"NO"
"2932309";"2932309";6,69473665686118e-19;0;0;2;7;7;0;0;"NO"
"2932408";"2932408";6,69473665686118e-19;0;0;2;2;3;0;0;"NO"
"2932457";"2932457";6,69473665686118e-19;0;0;2;3;2;0;0;"NO"
"2932507";"2932507";6,69473665686118e-19;0;0;2;19;16;0;0;"NO"
"2932606";"2932606";6,69473665686118e-19;0;0;27;16;10;0;0;"NO"
"2932705";"2932705";6,69473665686118e-19;0;0;2;19;16;0;0;"NO"
"2932804";"2932804";0;0;7,6482839972327e-18;2;3;2;1;1;"YES"
"2932903";"2932903";0;0;4,9429454669972e-17;2;6;6;9;9;"YES"
"2933000";"2933000";0;0;1,07742590890747e-17;2;3;2;3;3;"YES"
"2933059";"2933059";6,69473665686118e-19;0;0;2;3;2;0;0;"NO"
"2933109";"2933109";6,69473665686118e-19;0;0;2;3;2;0;0;"NO"
"2933158";"2933158";6,69473665686118e-19;0;0;2;3;2;0;0;"NO"
"2933174";"2933174";6,69473665686118e-19;0;0;2;6;6;0;0;"NO"
"2933208";"2933208";6,69473665686118e-19;0;0;2;3;2;0;0;"NO"
"2933257";"2933257";6,69473665686118e-19;0;0;11;18;9;0;0;"NO"
"2933406";"2933406";6,69473665686118e-19;0;0;2;3;2;0;0;"NO"
"2933455";"2933455";6,69473665686118e-19;0;0;2;4;4;0;0;"NO"
"2933505";"2933505";6,69473665686118e-19;0;0;2;7;7;0;0;"NO"
"2933604";"2933604";6,69473665686118e-19;0;0;2;2;3;0;0;"NO"
"2927408";"2927408";0;0;2,25947732745979e-15;2;3;2;212;212;"YES"
"2910800";"2910800";0;0;4,05044379113428e-16;2;3;2;46;46;"YES"
"2933307";"2933307";0;0;8,14262936590926e-16;2;5;1;66;61;"YES"
