"";"icao";"uf";"ibge";"long";"lat";"nat.centrality";"nat.module";"int.centrality";"int.module";"nat.degree";"int.degree";"dif.degree";"nat.strength";"int.strength";"dif.strength";"nat.fligths";"int.fligths";"n.nat.fligths";"n.int.fligths"
"230";"SNBW";"PA";1501204;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"NO";"NO";0;0
"231";"SNBX";"BA";2902708;-11,08111111;-43,1475;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"NO";"NO";0;0
"232";"SNCI";"PA";1502202;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"NO";"NO";0;0
"233";"SNDB";"PA";1506195;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"NO";"NO";0;0
"234";"SNDC";"PA";1506138;-49,97990036;-8,033289909;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"NO";"NO";0;0
"235";"SNDR";"MA";2112209;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"NO";"NO";0;0
"236";"SNDT";"MG";3121605;-43,65039825;-18,23200035;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"NO";"NO";0;0
"237";"SNDV";"MG";3122306;-44,8708992;-20,1807003;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"NO";"NO";0;0
"238";"SNEB";"PA";1505502;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"NO";"NO";0;0
"239";"SNFE";"MG";3101607;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"NO";"NO";0;0
"240";"SNFX";"PA";1507300;-51,9523;-6,6413;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"NO";"NO";0;0
"241";"SNGI";"BA";2911709;-42,74610138;-14,20820045;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"NO";"NO";0;0
"242";"SNHS";"PE";2613909;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"NO";"NO";0;0
"243";"SNIC";"BA";2914604;-11,34;-41,84694444;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"NO";"NO";0;0
"244";"SNIG";"CE";2305506;-39,29380035;-6,34664011;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"NO";"NO";0;0
"245";"SNIU";"BA";2913903;-14,17333333;-39,68416667;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"NO";"NO";0;0
"246";"SNJB";"BA";2917508;-11,16305556;-40,55333333;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"NO";"NO";0;0
"247";"SNJD";"BA";2910800;-38,90638889;-12,20055556;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"NO";"NO";0;0
"248";"SNJK";"BA";2918001;-13,87777778;-40,07138889;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"NO";"NO";0;0
"249";"SNJR";"MG";3162500;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"NO";"NO";0;0
"250";"SNKE";"PA";1506708;-50,32849884;-9,319970131;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"NO";"NO";0;0
"251";"SNKI";"ES";3201209;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"NO";"NO";0;0
"252";"SNKK";"RN";2402006;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"NO";"NO";0;0
"253";"SNMA";"PA";1504802;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"NO";"NO";0;0
"254";"SNMH";"GO";5217302;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"NO";"NO";0;0
