"";"ibge";"id.sus";"mortes";"mortes.diabetes";"mortes.hipertensao";"estabelecimentos.saude";"leitos";"profissionais.saude";"aux.enf.intensivista";"sup.enf.intensivista";"sup.med.intensivista";"sup.med.infectologista";"p_diabetes";"p_hipertensao"
"518";2103604;"210360";383;16;26;3;76;926;NA;NA;NA;NA;0,0417754569190601;0,0678851174934726
"519";2103703;"210370";206;20;12;2;109;471;NA;NA;NA;NA;0,0970873786407767;0,058252427184466
"520";2103752;"210375";82;11;2;1;14;123;NA;NA;NA;NA;0,134146341463415;0,024390243902439
"521";2103802;"210380";116;9;12;2;29;261;NA;NA;NA;NA;0,0775862068965517;0,103448275862069
"522";2103901;"210390";47;1;2;4;26;116;NA;NA;NA;NA;0,0212765957446809;0,0425531914893617
"523";2104008;"210400";98;6;12;1;44;188;NA;NA;NA;NA;0,0612244897959184;0,122448979591837
"524";2104057;"210405";184;21;7;2;61;376;NA;NA;NA;NA;0,114130434782609;0,0380434782608696
"525";2104073;"210407";34;1;3;1;20;71;NA;NA;NA;NA;0,0294117647058824;0,0882352941176471
"526";2104081;"210408";47;3;4;1;18;130;NA;NA;NA;NA;0,0638297872340425;0,0851063829787234
"527";2104099;"210409";58;0;6;3;13;151;NA;NA;NA;NA;0;0,103448275862069
"528";2104107;"210410";60;5;6;3;31;95;NA;NA;NA;NA;0,0833333333333333;0,1
"529";2104206;"210420";75;3;9;1;17;135;NA;NA;NA;NA;0,04;0,12
"530";2104305;"210430";29;2;2;1;NA;99;NA;NA;NA;NA;0,0689655172413793;0,0689655172413793
"531";2104404;"210440";81;10;13;1;29;155;NA;NA;NA;NA;0,123456790123457;0,160493827160494
"532";2104503;"210450";62;7;13;1;24;84;NA;NA;NA;NA;0,112903225806452;0,209677419354839
"533";2104552;"210455";109;10;2;4;23;197;NA;NA;NA;NA;0,0917431192660551;0,018348623853211
"534";2104602;"210460";88;9;13;1;30;139;NA;NA;NA;NA;0,102272727272727;0,147727272727273
"535";2104628;"210462";39;4;2;1;20;73;NA;NA;NA;NA;0,102564102564103;0,0512820512820513
"536";2104651;"210465";49;3;2;2;19;138;NA;NA;NA;NA;0,0612244897959184;0,0408163265306122
"537";2104677;"210467";103;4;4;2;204;283;NA;NA;NA;NA;0,0388349514563107;0,0388349514563107
"538";2104701;"210470";28;0;6;2;18;56;NA;NA;NA;NA;0;0,214285714285714
