"";"ibge";"dist.ilheus";"dist.ssa";"dist.min.ilh.ssa";"dist.min.loc";"dist.min.nat";"dist.min.int";"dist.min.nat.wint";"nat.airport";"loc.airport"
"1";"2900801";296,313031477107;517,929453426331;296,313031477107;26,2109004678265;28,2066411457052;119,266001274332;28,2066411457052;"NO";"NO"
"2";"2900900";69,104311699246;245,717714043077;69,104311699246;69,104311699246;69,104311699246;202,163182598267;69,104311699246;"NO";"NO"
"3";"2901205";210,170042880299;341,52327358891;210,170042880299;32,3244827498978;32,3244827498978;288,007483277894;32,3244827498978;"NO";"NO"
"4";"2902252";62,4182606420792;283,848486581372;62,4182606420792;46,0709876278418;46,0709876278418;136,94859816668;46,0709876278418;"NO";"NO"
"5";"2902401";69,4384322111931;203,711965937446;69,4384322111931;69,4384322111931;69,4384322111931;203,711965937446;69,4384322111931;"NO";"NO"
"6";"2902906";166,896410646879;329,797716594341;166,896410646879;30,8940855705018;30,8940855705018;233,089572245965;30,8940855705018;"NO";"NO"
"7";"2903300";44,5238811475737;239,575089336547;44,5238811475737;44,5238811475737;44,5238811475737;188,081202102427;44,5238811475737;"NO";"NO"
"8";"2903409";124,87280678495;347,407239597443;124,87280678495;56,6222813687352;56,6222813687352;56,6222813687352;67,052681359127;"NO";"NO"
"9";"2903508";234,424218784984;387,797430658143;234,424218784984;39,6151219126338;39,6151219126338;277,787360279071;39,6151219126338;"NO";"NO"
"10";"2903953";172,928512635673;293,892376252359;172,928512635673;60,7098414025568;60,7098414025568;277,831701274566;60,7098414025568;"NO";"NO"
"11";"2904704";32,3341470748848;252,647148438139;32,3341470748848;32,3341470748848;32,3341470748848;160,859437671233;32,3341470748848;"NO";"NO"
"12";"2904803";140,66401757082;317,809473385477;140,66401757082;60,2429881404;60,2429881404;206,55357436448;60,2429881404;"NO";"NO"
"13";"2905008";352,231432843018;462,663118402762;352,231432843018;58,285054273924;158,824678385827;406,268850400814;158,824678385827;"NO";"YES"
"14";"2905602";86,9323647217818;308,843880742766;86,9323647217818;56,6521193547923;56,6521193547923;119,587104891574;56,6521193547923;"NO";"NO"
"15";"2906303";92,7987457367423;315,112072752854;92,7987457367423;34,8402138230516;34,8402138230516;87,1607650306282;34,8402138230516;"NO";"NO"
"16";"2906600";411,788452708747;515,140928967809;411,788452708747;23,5722720164305;218,068969813357;461,238103839074;218,068969813357;"NO";"NO"
"17";"2906709";247,705987620685;417,725742471656;247,705987620685;69,8251382870855;69,8251382870855;263,258453943399;69,8251382870855;"NO";"NO"
"18";"2906899";243,268420953531;372,3207003523;243,268420953531;52,3474149027046;52,3474149027046;309,980769649921;52,3474149027046;"NO";"NO"
"19";"2906907";322,229199906809;545,595387302984;322,229199906809;15,0234889018309;15,0234889018309;149,511099708043;15,0234889018309;"NO";"YES"
"20";"2908002";63,6539492235278;235,008187994349;63,6539492235278;63,6539492235278;63,6539492235278;207,342272907735;63,6539492235278;"NO";"NO"
"21";"2908705";324,974034353975;460,374511145056;324,974034353975;108,803502286297;127,991628728162;359,943208601034;127,991628728162;"NO";"NO"
"22";"2909000";310,312677930319;453,579068913463;310,312677930319;114,146269535973;114,146269535973;340,187845428822;114,146269535973;"NO";"NO"
"23";"2910008";112,476934183867;244,695265665722;112,476934183867;107,021653438013;107,021653438013;244,695265665722;107,021653438013;"NO";"NO"
"24";"2910404";228,215337494721;414,489804908042;228,215337494721;82,3315891753312;82,3315891753312;225,604767397862;82,3315891753312;"NO";"NO"
"25";"2910727";175,203772694587;399,77939247756;175,203772694587;58,2074677598227;58,2074677598227;58,2074677598227;123,009773307907;"NO";"NO"
"26";"2910909";95,3470268110254;282,021537908067;95,3470268110254;95,3470268110254;95,3470268110254;189,10629983223;95,3470268110254;"NO";"NO"
"27";"2911006";73,7073140299519;261,691938437731;73,7073140299519;73,7073140299519;73,7073140299519;189,412966144598;73,7073140299519;"NO";"NO"
"28";"2911659";318,762736508771;435,853522121583;318,762736508771;91,2429550373591;124,968100718402;374,188941470418;124,968100718402;"NO";"NO"
"29";"2911808";215,297483289063;439,155571977267;215,297483289063;92,3511698669732;92,3511698669732;92,3511698669732;111,249167043268;"NO";"NO"
"30";"2912103";57,7253883472449;253,40193773179;57,7253883472449;57,7253883472449;57,7253883472449;183,525401514578;57,7253883472449;"NO";"NO"
"31";"2912301";91,4924278497979;254,06905074156;91,4924278497979;91,4924278497979;91,4924278497979;215,822416529311;91,4924278497979;"NO";"NO"
"32";"2912806";340,406589159256;564,874018105187;340,406589159256;37,3380878189276;43,8163305052307;175,148756656184;43,8163305052307;"NO";"NO"
"33";"2913507";113,046143243379;268,161666809596;113,046143243379;89,5483931232432;89,5483931232432;226,077614798088;89,5483931232432;"NO";"NO"
"34";"2913606";18,4947488624239;224,646543377858;18,4947488624239;18,4947488624239;18,4947488624239;186,935035358407;18,4947488624239;"YES";"YES"
"35";"2914653";211,780077953763;435,94939561353;211,780077953763;56,0131858641366;56,0131858641366;56,0131858641366;96,1650349778845;"NO";"NO"
"36";"2914802";30,3524413913291;240,14720597833;30,3524413913291;30,3524413913291;30,3524413913291;177,356087830968;30,3524413913291;"NO";"NO"
"37";"2915304";160,598802379076;384,28340845151;160,598802379076;79,7980541257325;79,7980541257325;79,7980541257325;114,012896354605;"NO";"NO"
"38";"2915403";83,6420402999763;290,813950238768;83,6420402999763;81,96500406156;81,96500406156;158,890796974502;81,96500406156;"NO";"NO"
"39";"2915502";47,1252830637016;229,718232237515;47,1252830637016;47,1252830637016;47,1252830637016;199,395270451766;47,1252830637016;"NO";"NO"
"40";"2915601";254,976969957978;479,458678497964;254,976969957978;57,9895763354211;57,9895763354211;96,4372841553227;57,9895763354211;"NO";"NO"
"41";"2915809";160,2657573983;341,354802273932;160,2657573983;52,9614605330314;52,9614605330314;205,855583643598;52,9614605330314;"NO";"NO"
"42";"2916005";292,365081456908;515,293056145954;292,365081456908;88,0000055213028;88,0000055213028;157,298642524401;88,0000055213028;"NO";"NO"
"43";"2916203";52,0915064661028;259,437433212853;52,0915064661028;52,0915064661028;52,0915064661028;170,155537632153;52,0915064661028;"NO";"NO"
"44";"2916302";138,350670071853;361,967323228215;138,350670071853;84,4955701175277;84,4955701175277;84,4955701175277;93,3681145431623;"NO";"NO"
"45";"2916401";122,431133987028;324,127742030825;122,431133987028;99,1637383149506;99,1637383149506;163,814882065762;99,1637383149506;"NO";"NO"
"46";"2916609";73,7325396955668;222,824415672658;73,7325396955668;73,7325396955668;73,7325396955668;222,824415672658;73,7325396955668;"NO";"NO"
"47";"2916807";146,386149209445;360,452989239825;146,386149209445;118,867399509412;118,867399509412;132,114695062087;118,867399509412;"NO";"NO"
